iter	Logloss
0	0.6752981567
1	0.6628036499
2	0.6514530945
3	0.6408688354
4	0.6320043182
5	0.6237570953
6	0.6160395432
7	0.6102842712
8	0.6045674896
9	0.5996089554
10	0.5953185272
11	0.5916706848
12	0.5881132507
13	0.5843336868
14	0.581550827
15	0.5780973816
16	0.5749181747
17	0.5716780472
18	0.5688415527
19	0.5674628448
20	0.5649916458
21	0.5632604218
22	0.5603792191
23	0.5586979294
24	0.5564051056
25	0.55490448
26	0.5517752838
27	0.54975811
28	0.5476058578
29	0.5463617706
30	0.5444490051
31	0.5430512238
32	0.5414196014
33	0.5392131424
34	0.5368162537
35	0.5343263626
36	0.5329684448
37	0.5313469696
38	0.5298774719
39	0.5283634186
40	0.5265169144
41	0.5244989014
42	0.5228235626
43	0.5216455841
44	0.520460434
45	0.5192526245
46	0.5185453033
47	0.5171492767
48	0.5155420685
49	0.5144866943
50	0.5122826385
51	0.5100898743
52	0.5092483521
53	0.5074414444
54	0.504691925
55	0.5036043549
56	0.5019157791
57	0.5004582214
58	0.4992976379
59	0.4980502319
60	0.4959799576
61	0.4946513748
62	0.493717041
63	0.4927556229
64	0.4910667038
65	0.4904452896
66	0.4896380997
67	0.4888595581
68	0.4871173096
69	0.4860139465
70	0.4849016571
71	0.4839781952
72	0.4833761597
73	0.4825861359
74	0.48139534
75	0.4801413345
76	0.4788134384
77	0.47735672
78	0.4761671448
79	0.47507267
80	0.4738993835
81	0.4718027496
82	0.4708571243
83	0.4695003891
84	0.4675769806
85	0.4659511566
86	0.4647193909
87	0.4628876877
88	0.4614767075
89	0.4602410889
90	0.4584281921
91	0.4572156906
92	0.4560287857
93	0.4550715637
94	0.4532212067
95	0.4520645905
96	0.4497859192
97	0.4478928375
98	0.4456954956
99	0.4445450211
