iter	Passed	Remaining
0	1	111
1	6	323
2	15	498
3	24	577
4	29	567
5	35	556
6	36	487
7	39	459
8	41	420
9	43	387
10	44	358
11	46	340
12	48	322
13	49	305
14	51	289
15	52	277
16	54	265
17	56	258
18	58	251
19	59	239
20	64	242
21	69	247
22	73	246
23	80	255
24	82	246
25	83	238
26	85	231
27	87	225
28	89	219
29	92	215
30	93	208
31	95	203
32	98	199
33	100	196
34	102	189
35	103	183
36	105	179
37	107	175
38	108	169
39	109	164
40	111	160
41	113	156
42	115	152
43	120	152
44	123	150
45	126	148
46	127	144
47	141	152
48	144	150
49	148	148
50	150	144
51	151	140
52	153	135
53	154	131
54	155	127
55	157	123
56	159	120
57	161	116
58	162	113
59	164	109
60	165	105
61	166	102
62	167	98
63	170	95
64	176	94
65	181	93
66	183	90
67	184	86
68	186	83
69	187	80
70	189	77
71	190	74
72	191	70
73	192	67
74	194	64
75	195	61
76	197	58
77	198	55
78	199	52
79	200	50
80	202	47
81	203	44
82	204	41
83	205	39
84	206	36
85	207	33
86	208	31
87	209	28
88	213	26
89	214	23
90	216	21
91	217	18
92	219	16
93	220	14
94	221	11
95	222	9
96	224	6
97	225	4
98	226	2
99	227	0
